Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
1 Feb 2020 (Sat),-500,10:12,-376.05 (30679.25-30303.20),979.00 (414.15-365.2 = -48.95) 30500PE,-1511.00 (407.65-483.2 = 75.55) 30900CE
3 Feb 2020 (Mon),2513,14:30,115.00 (29864.55-29979.55),1988.00 (254.95-155.55 = -99.40) 29700PE,525.00 (199.85-173.6 = -26.25) 30100CE
4 Feb 2020 (Tue),-500,10:57,389.75 (30299.90-30689.65),1675.00 (126.9-43.15 = -83.75) 30100PE,-2814.00 (97.3-238 = 140.70) 30500CE
5 Feb 2020 (Wed),-500,14:29,240.65 (30790.00-31030.65),1245.00 (84.75-22.5 = -62.25) 30600PE,-1858.00 (72-164.9 = 92.90) 31000CE
6 Feb 2020 (Thu),-500,12:35,304.70 (31040.75-31345.45),726.00 (38.25-1.95 = -36.30) 30800PE,-1257.00 (65.4-128.25 = 62.85) 31200CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
7 Feb 2020 (Fri),1122,14:30,8.40 (31177.25-31185.65),998.00 (224.9-175 = -49.90) 31000PE,124.00 (173.55-167.35 = -6.20) 31400CE
10 Feb 2020 (Mon),616,14:30,-107.85 (31085.00-30977.15),42.00 (166.7-164.6 = -2.10) 30900PE,574.00 (120.2-91.5 = -28.70) 31300CE
11 Feb 2020 (Tue),673,14:30,-62.70 (31408.10-31345.40),191.00 (106.9-97.35 = -9.55) 31200PE,482.00 (91.6-67.5 = -24.10) 31600CE
12 Feb 2020 (Wed),793,14:30,-13.10 (31532.00-31518.90),475.00 (53.1-29.35 = -23.75) 31300PE,318.00 (62.55-46.65 = -15.90) 31700CE
13 Feb 2020 (Thu),328,14:30,-194.40 (31419.00-31224.60),-110.00 (13.2-18.7 = 5.50) 31200PE,438.00 (22.3-0.4 = -21.90) 31600CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
14 Feb 2020 (Fri),-500,10:51,-511.05 (31377.15-30866.10),-2660.00 (141.85-274.85 = 133.00) 31200PE,1403.00 (150.3-80.15 = -70.15) 31600CE
17 Feb 2020 (Mon),-500,09:39,-21.40 (30715.75-30694.35),1270.00 (162.95-99.45 = -63.50) 30500PE,-2084.00 (159.3-263.5 = 104.20) 30900CE
18 Feb 2020 (Tue),595,14:30,-96.25 (30500.30-30404.05),-433.00 (103.35-125 = 21.65) 30300PE,1028.00 (116.95-65.55 = -51.40) 30700CE
19 Feb 2020 (Wed),-500,09:33,-98.20 (30882.95-30784.75),-1320.00 (59.3-125.3 = 66.00) 30700PE,456.00 (65.35-42.55 = -22.80) 31100CE
20 Feb 2020 (Thu),827,14:30,121.40 (30913.65-31035.05),508.00 (25.95-0.55 = -25.40) 30700PE,319.00 (21.9-5.95 = -15.95) 31100CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
24 Feb 2020 (Mon),249,14:30,7.85 (30527.20-30535.05),65.00 (153.25-150 = -3.25) 30300PE,184.00 (147.75-138.55 = -9.20) 30700CE
25 Feb 2020 (Tue),1210,14:30,-73.45 (30477.40-30403.95),160.00 (155.3-147.3 = -8.00) 30300PE,1050.00 (146.2-93.7 = -52.50) 30700CE
26 Feb 2020 (Wed),-500,13:46,-20.00 (30308.75-30288.75),1076.00 (92-38.2 = -53.80) 30100PE,-1582.00 (91.8-170.9 = 79.10) 30500CE
27 Feb 2020 (Thu),1228,14:30,-78.25 (30145.15-30066.90),319.00 (21.05-5.1 = -15.95) 29900PE,909.00 (46.8-1.35 = -45.45) 30300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
28 Feb 2020 (Fri),-500,12:17,-155.90 (29460.95-29305.05),-3598.00 (330-509.9 = 179.90) 29300PE,2822.00 (336.6-195.5 = -141.10) 29700CE
2 Mar 2020 (Mon),1566,14:30,49.80 (29409.05-29458.85),1076.00 (273.8-220 = -53.80) 29200PE,490.00 (266.95-242.45 = -24.50) 29600CE
3 Mar 2020 (Tue),-500,09:35,-107.70 (29221.85-29114.15),-1784.00 (192.05-281.25 = 89.20) 29000PE,1030.00 (229.3-177.8 = -51.50) 29400CE
4 Mar 2020 (Wed),-500,12:57,-650.25 (29020.40-28370.15),-3954.00 (183.3-381 = 197.70) 28800PE,3049.00 (192.25-39.8 = -152.45) 29200CE
5 Mar 2020 (Thu),-500,10:49,174.15 (28658.10-28832.25),1138.00 (80.2-23.3 = -56.90) 28500PE,-2081.00 (55.65-159.7 = 104.05) 28900CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
6 Mar 2020 (Fri),2909,14:30,167.75 (27612.85-27780.60),2378.00 (465.25-346.35 = -118.90) 27400PE,531.00 (486.55-460 = -26.55) 27800CE
9 Mar 2020 (Mon),-500,12:46,-630.75 (26910.30-26279.55),-3479.00 (337-510.95 = 173.95) 26700PE,2899.00 (384.85-239.9 = -144.95) 27100CE
11 Mar 2020 (Wed),-500,09:40,-125.35 (26759.00-26633.65),-2001.00 (338.95-439 = 100.05) 26600PE,1480.00 (270.1-196.1 = -74.00) 27000CE
12 Mar 2020 (Thu),-500,10:47,-923.90 (25080.25-24156.35),-3460.00 (152.85-325.85 = 173.00) 24900PE,2937.00 (182.8-35.95 = -146.85) 25300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
16 Mar 2020 (Mon),-500,09:33,-203.10 (23568.75-23365.65),24.00 (951.8-950.6 = -1.20) 23400PE,-725.00 (775.75-812 = 36.25) 23800CE
17 Mar 2020 (Tue),-500,09:36,10.80 (22671.65-22682.45),3600.00 (979-799 = -180.00) 22500PE,-4205.00 (900-1110.25 = 210.25) 22900CE
18 Mar 2020 (Wed),-500,11:03,-1353.10 (22011.40-20658.30),-6580.00 (614.65-943.65 = 329.00) 21800PE,5623.00 (465.35-184.2 = -281.15) 22200CE
19 Mar 2020 (Thu),-500,09:31,1576.60 (19101.45-20678.05),-7178.00 (141.1-500 = 358.90) 18900PE,1200.00 (420-360 = -60.00) 19300CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
20 Mar 2020 (Fri),-500,09:32,630.35 (19614.05-20244.40),-2783.00 (1097.65-1236.8 = 139.15) 19400PE,2246.00 (1134.3-1022 = -112.30) 19800CE
23 Mar 2020 (Mon),-500,09:46,-1430.70 (18565.75-17135.05),-5097.00 (1028.95-1283.8 = 254.85) 18400PE,4448.00 (897.4-675 = -222.40) 18800CE
24 Mar 2020 (Tue),-500,09:35,393.35 (17166.80-17560.15),-6056.00 (1047.15-1349.95 = 302.80) 17000PE,5173.00 (1012.3-753.65 = -258.65) 17400CE
